input,output
"how to create student","Go to Student → Add Student, fill in the required personal and academic details, then click Save to create the student record."
"how to edit student","Navigate to Student → Student List, select the student, click Edit, update details, and save."
"how to delete student","Open Student → Student List, select the student record, click Delete, and confirm the deletion."
"how to view students","Go to Student → Student List to view all registered students."
"how to search student","Use the search bar in Student → Student List by entering name, register number, or ID."
"how admission works","Admission module is used to manage student enrollment including personal data and academic details."
"how to add admission","Go to Admission module → New Admission, fill in student info, choose program, upload documents, and save."
"how to edit admission","In Admission module → Admission List, select a student, click Edit, update details, and save."
"how to print admission","In Admission module → Admission List, choose the record and click Print to generate a printable form."
"how to create report","Go to Reports → Select report type → Choose filters → Click Generate Report."
"how to print report","Open a generated report and use the Print option at the top right corner."
"how to generate report","Navigate to Reports → Choose module → Apply filters → Generate."
"how to create subject","Go to My Subject → Add Subject → Enter subject details → Save."
"how to edit subject","My Subject → Subject List → Edit → Update details → Save."
"how to assign subject","Go to My Class → Assign Subjects → Choose class → Assign."
"how to create class","My Class → Add Class → Fill class details → Save."
"how to view class","Go to My Class → Class List."
"how to add mentee","My Mentees → Add Mentee → Select student → Save."
"how to view mentees","My Mentees → Mentee List."
"how to approve hall ticket","COE → Hall Ticket Approval → Select students → Approve."
"how to generate hall ticket","COE → Hall Ticket → Choose exam → Generate."
"how to approve elective","Elective Waiver → Select student → Approve requested elective waiver."
"how to create course registration","Course Registration → New Registration → Select student → Add courses → Save."
"how to edit course registration","Course Registration → Registration List → Edit → Update courses → Save."
"how to print course registration","Course Registration → Registration List → Print."
"how to generate academic report","Academic → Reports → Choose report → Apply filters → Generate."
"how to print student id","Student → Student List → Select student → Print ID card."
"how to take attendance","Academic → Attendance → Select class → Mark students present/absent → Save."
"how to view attendance","Academic → Attendance → Attendance Reports → Select class/date → View."
"how to update profile","Go to Profile → Edit → Update details → Save."
